car,truck,bus,bicycle,lorry,Average speed(Km/h)
32,7,10,93,10,4.94
17,5,2,39,1,2.78
9,3,1,40,3,9
6,2,6,47,3,9.97
19,5,3,37,2,3.06
13,4,4,47,4,1.4
6,2,2,26,1,9.45
5,1,6,24,4,1.22
14,1,5,21,4,6.22
7,4,3,50,1,1.23
17,5,1,10,2,9.01
20,4,1,48,1,8.29
5,3,5,29,1,1.33
17,1,3,34,4,7.23
5,1,1,36,2,4.29
19,4,4,41,1,8.36
20,2,2,15,3,1.99
7,3,3,25,2,4.22
6,2,6,43,2,9.95
14,5,2,11,2,4.16
20,2,3,12,1,5.67
9,3,4,42,1,6.46
8,3,6,25,1,9.83
14,2,1,33,2,1.51
18,5,5,33,3,8.31
6,1,1,38,1,4.97
7,4,6,35,3,1.63
6,4,5,22,1,5.52
8,3,5,26,1,6.29
5,3,3,11,1,9.85
11,4,3,37,4,9.54
13,5,2,36,2,8.51
17,1,3,35,3,7.05
7,3,1,40,4,6.77
7,2,2,26,2,9.58
15,1,5,22,3,2.04
17,5,4,34,4,8.8
10,2,3,24,1,6.4
18,5,4,16,1,6.62
15,1,2,37,4,9.28
5,4,2,34,3,2.03
18,2,4,18,2,9.87
7,4,3,20,2,8.29
18,3,3,49,2,8.86
17,3,3,27,1,2.44
12,5,2,41,1,9.51
15,3,1,43,4,7.59
12,5,2,27,1,3.28
7,4,2,27,1,1.34
8,4,4,18,4,6.7
8,3,5,41,4,1.5
6,1,5,34,3,7.63
12,1,5,47,3,4.6
7,4,2,44,1,5.85
9,5,3,38,1,3.37
11,5,2,36,3,9.45
11,5,4,41,2,2.6
9,2,3,14,2,7.91
17,1,5,33,1,2.89
8,5,5,31,1,9.08
13,2,1,48,4,3.76
10,1,4,36,2,3.5
11,4,2,38,4,2.75
17,4,3,45,3,6.57
6,2,5,43,3,8.12
8,3,2,19,3,4.6
12,2,2,15,4,6.39
12,4,2,31,4,7.89
16,2,5,48,1,1.47
18,2,3,23,3,5.7
9,5,4,47,1,2.56
15,4,6,22,1,1.26
9,4,6,19,4,9.68
20,1,2,10,3,7.96
8,2,4,17,1,3.01
16,1,3,42,1,1.59
20,1,5,36,3,6.09
18,2,4,33,4,5.86
12,2,1,44,1,3.08
7,4,6,26,2,2.84
9,1,5,25,1,9.83
5,2,2,19,4,3.24
5,1,2,34,2,1.94
16,4,5,49,2,2.07
