car,truck,bus,bicycle,lorry,Average speed(Km/h)
49,9,7,55,8,24.78
6,3,5,27,1,21.27
18,6,2,40,5,27.11
4,6,6,15,7,22.47
17,3,4,15,2,13.65
3,5,2,41,4,14.52
2,5,2,8,4,22.26
17,2,4,38,2,11.67
16,1,8,34,2,12.40
3,6,6,42,3,15.98
20,6,1,22,1,26.03
6,1,4,31,3,11.02
5,2,5,21,7,27.92
17,5,1,9,3,21.16
13,3,3,8,6,29.27
16,5,1,20,7,18.14
8,5,2,29,3,23.12
10,5,8,36,1,19.07
14,6,7,39,1,17.26
17,4,8,20,6,11.00
4,4,7,18,7,18.97
18,4,7,24,7,19.80
3,3,7,31,5,12.84
4,2,4,16,7,21.12
19,5,5,33,1,24.71
1,4,1,27,3,11.77
17,6,5,39,2,19.96
5,4,5,19,9,10.92
5,5,7,22,7,12.24
18,2,4,41,5,13.81
17,2,7,37,7,13.33
20,4,7,16,7,15.44
12,2,5,29,1,19.84
20,3,1,30,3,28.05
11,2,8,10,5,26.50
20,3,2,34,3,26.35
11,4,4,11,9,22.57
10,5,2,26,7,25.15
20,3,1,20,8,29.43
13,1,1,24,6,23.57
1,6,1,25,1,28.84
9,6,6,20,6,16.99
15,4,7,33,6,21.02
5,3,1,10,5,19.77
17,2,6,14,1,22.89
15,4,7,19,8,21.68
7,4,2,36,1,28.12
10,6,7,29,3,20.82
1,6,7,20,1,18.31
2,4,6,39,4,14.35
17,5,8,19,3,14.52
3,1,1,15,6,19.34
17,1,6,23,9,28.56
4,5,5,29,4,15.13
8,4,1,17,7,12.81
14,4,3,9,8,29.51
11,5,1,29,6,23.01
16,5,5,15,4,21.29
13,4,5,37,1,24.80
2,6,4,23,6,15.53
20,5,1,42,7,20.53
11,3,1,18,3,24.70
13,2,2,18,2,26.43
18,2,4,39,1,26.43
4,5,6,38,7,11.70
12,5,4,9,4,10.90
11,5,2,8,1,27.88
7,2,4,26,3,14.24
1,6,6,13,7,23.68
11,5,4,14,5,10.88
14,3,3,11,3,27.21
2,2,3,21,9,13.22
16,6,5,23,6,21.55
11,6,5,26,3,18.60
6,1,5,16,2,27.17
13,5,1,42,4,26.16
19,2,7,11,4,12.66
13,6,5,21,4,20.14
11,1,5,10,5,10.26
9,3,7,33,7,16.61
1,5,6,39,6,23.17
14,6,1,23,4,20.80
9,5,6,14,3,25.31
15,5,5,26,2,15.73
19,2,2,20,4,14.70
15,4,5,42,8,12.49
20,3,6,41,8,19.53
14,4,6,12,7,11.67
7,3,2,42,8,17.87
1,6,3,28,4,10.20
8,1,4,40,7,28.01
3,2,4,16,2,26.93
5,2,2,34,5,29.49
10,1,1,8,9,16.09
20,4,4,22,5,21.94
7,6,7,34,7,27.86
6,3,6,15,5,14.68
13,5,2,26,9,18.36
20,1,3,40,1,10.44
12,5,1,39,9,26.80
11,6,7,34,8,10.07
15,3,4,10,8,22.60
12,6,4,14,8,10.64
5,5,4,18,5,25.54
17,6,1,15,9,15.36
10,6,7,29,6,17.98
5,6,4,28,3,11.64
8,4,8,29,4,24.36
8,4,2,21,5,22.69
7,4,4,34,6,11.06
